EMPLOYER	JOB TITLE	BASE SALARY	LOCATION	SUBMIT DATE	START DATE
EVEREST TECHNOLOGIES INC	QA ANALYST	90,000	COLUMBUS, OH	05/23/2023	10/01/2023
CITIUSTECH INC	QA ANALYST	90,000	MURRAY, UT	05/24/2023	06/12/2023
DOTCOM TEAM LLC	QA ANALYST	90,000	ROUND ROCK, TX	05/30/2023	05/30/2023
EVEREST TECHNOLOGIES INC	QA ANALYST	90,000	COLUMBUS, OH	06/07/2023	10/01/2023
TRAYAH TECH LLC	QA ANALYST	90,000	ROCKY HILL,, CT	06/16/2023	10/01/2023
COUNCIL FOR AFFORDABLE QUALITY HEALTHCARE	QA ANALYST	90,000	WASHINGTON, DC	08/29/2023	10/01/2023
SOLTEX SYSTEMS LLC	QA ANALYST	90,190	MAPLE VALLEY, WA	08/24/2023	11/13/2023
INNOVA SOLUTIONS INC	QA ANALYST	90,896	SALEM, OR	04/04/2023	10/02/2023
CITIUSTECH INC	QA ANALYST	92,000	PRINCETON, NJ	09/06/2023	10/01/2023
CITIUSTECH INC	QA ANALYST	92,000	SALT LAKE CITY, UT	04/12/2023	05/15/2023
CITIUSTECH INC	QA ANALYST	92,000	SALT LAKE CITY, UT	05/03/2023	05/15/2023
CITIUSTECH INC	QA ANALYST	92,000	SALT LAKE CITY, UT	04/12/2023	05/15/2023
RADIANT INNOVATIVE INC	QA ANALYST	92,269	ELKRIDGE, MD	04/13/2023	04/20/2023
QUANTUM INTEGRATORS GROUP LLC	QA ANALYST	92,400	RENTON, WA	04/26/2023	05/01/2023
EVEREST TECHNOLOGIES INC	QA ANALYST	92,500	NEW ALBANY, OH	06/16/2023	10/13/2023
EVEREST TECHNOLOGIES INC	QA ANALYST	92,500	LEWIS CENTER, OH	06/16/2023	10/13/2023
LANCESOFT INC	QA ANALYST	92,914	BLOOMINGTON, MN	03/07/2023	03/21/2023
CIGNITI TECHNOLOGIES INC	QA ANALYST	93,000	ATLANTA, GA	07/27/2023	08/04/2023
APPLAB SYSTEMS INC	QA ANALYST	93,309	ST. CHARLES, MO	06/14/2023	10/02/2023
RAM INFO LLC	QA ANALYST	93,600	AURORA, CO	07/27/2023	08/14/2023
COLLABORATE SOLUTIONS INC	QA ANALYST	93,766	WOONSOCKET, RI	06/28/2023	06/28/2023
CLOUDBRIDGE SOLUTIONS INC	QA ANALYST	93,766	MARLBOROUGH, MA	02/06/2023	05/15/2023
CLOUD BRIDGE SOLUTIONS INC	QA ANALYST	93,766	MARLBOROUGH, MA	05/19/2023	10/01/2023
RADIYANT CONSULTING LLC	QA ANALYST	93,766	QUNICY, MA	06/02/2023	10/01/2023
RADIYANT CONSULTING LLC	QA ANALYST	93,766	QUINCY, MA	06/02/2023	10/01/2023
ASTIR IT SOLUTIONS INC	QA ANALYST	94,000	CHELSEA, MA	02/14/2023	02/21/2023
ASTIR IT SOLUTIONS INC	QA ANALYST	94,000	RICHMOND, VA	06/06/2023	07/31/2023
CITIUSTECH INC	QA ANALYST	94,200	BEAVERTON, OR	06/29/2023	07/24/2023
SOUTHERN TELECOM INC	QA ANALYST	95,000	BROOKLYN, NY	03/22/2023	09/18/2023
INFOBIZ SYSTEMS LLC	QA ANALYST	95,326	RICHFIELD, MN	05/11/2023	10/01/2023
TSQ SYSTEMS INC	QA ANALYST	95,326	MINNEAPOLIS, MN	06/13/2023	07/05/2023
TSQ SYSTEMS INC	QA ANALYST	96,000	MINNEAPOLIS, MN	06/15/2023	06/21/2023
NATIONAL MEDICAL CARE INC A FRESENIUS MEDICAL CARE NA COMPANY	QA ANALYST	96,304	DURHAM, NC	03/23/2023	08/13/2023
BROADMINDS INC	QA ANALYST	96,845	ROUND ROCK, TX	09/18/2023	09/18/2023
FLYSOFT INC	QA ANALYST	96,845	WALTHAM, MA	07/19/2023	09/15/2023
MICROINFO INC	QA ANALYST	97,053	ENGLEWOOD CLIFFS, NJ	03/31/2023	04/05/2023
COMPREHENSIVE RESOURCES INC	QA ANALYST	97,053	MATAWAN, NJ	04/26/2023	10/01/2023
TOP EDGE TECHNOLOGY INC	QA ANALYST	97,053	CHICAGO, IL	01/27/2023	02/10/2023
COMPREHENSIVE RESOURCES INC	QA ANALYST	97,053	MATAWAN, NJ	05/09/2023	10/01/2023
ASPIRANTSPRO IT SOLUTIONS LLC	QA ANALYST	97,053	CRANBURY, NJ	06/06/2023	10/01/2023
PEER CONSULTING RESOURCES	QA ANALYST	97,053	QUEENS, NY	06/13/2023	10/01/2023
WORLD CLASS WORKFORCE LLC	QA ANALYST	97,094	RESTON, VA	06/14/2023	09/01/2023
SATIN SOLUTIONS LLC	QA ANALYST	97,100	TAMPA, FL	01/12/2023	01/19/2023
SKILLTUNE TECHNOLOGIES INC	QA ANALYST	97,100	NORTH BRUNSWICK, NJ	01/26/2023	02/02/2023
SKILLTUNE TECHNOLOGIES INC	QA ANALYST	97,100	NORTH BRUNSWICK, NJ	01/31/2023	02/07/2023
SATIN SOLUTIONS LLC	QA ANALYST	97,100	EDISON, NJ	02/10/2023	02/20/2023
TANISHA SYSTEMS INC	QA ANALYST	97,100	NEW YORK, NY	06/13/2023	10/01/2023
ASTIR IT SOLUTIONS INC	QA ANALYST	97,500	RICHARDSON, TX	07/07/2023	07/14/2023
ASTIR IT SOLUTIONS INC	QA ANALYST	97,500	RICHARDSON, TX	07/05/2023	07/12/2023
ALLIED BUSINESS CONSULTING INC	QA ANALYST	97,594	BRAMBLETON, VA	08/25/2023	09/30/2023
INTERNATIONAL SOFTWARE SYSTEMS INC	QA ANALYST	98,000	MCLEAN, VA	06/28/2023	09/01/2023
VENTOIS INC	QA ANALYST	98,568	BRENTWOOD, TN	08/23/2023	08/23/2023
ADALITEK GROUP LLC	QA ANALYST	98,904	COPPELL, TX	02/10/2023	02/11/2023
COOL MINDS LLC	QA ANALYST	99,008	ATLANTA, GA	03/24/2023	04/03/2023
COOL MINDS LLC	QA ANALYST	99,008	ATLANTA, GA	03/24/2023	04/03/2023
COMPREHENSIVE RESOURCES INC	QA ANALYST	99,549	OLD BRIDGE, NJ	09/12/2023	10/01/2023
LUCID TECHNOLOGIES LLC	QA ANALYST	99,549	BROOKLYN, NY	08/02/2023	08/02/2023
MINDQUEST TECHNOLOGY SOLUTIONS LLC	QA ANALYST	99,549	NOVI, MI	08/28/2023	09/01/2023
CONFINET SOLUTION INC	QA ANALYST	99,549	WHIPPANY, NJ	08/25/2023	08/28/2023
COMPREHENSIVE RESOURCES INC	QA ANALYST	99,549	PISCATAWAY, NJ	08/22/2023	08/30/2023
TECKPROS LLC	QA ANALYST	100,000	CUMMING, GA	04/11/2023	05/03/2023
GSSR INC	QA ANALYST	100,000	HOUSTON, TX	06/13/2023	10/27/2023
COLLABORATE SOLUTIONS INC	QA ANALYST	100,027	QUINCY, MA	01/19/2023	01/20/2023
CYBER INFOTECH LLC	QA ANALYST	100,100	GAITHERSBURG, MD	08/16/2023	08/17/2023
THE RELIABLE SOLUTIONS GROUP LLC	QA ANALYST	100,298	DURHAM, NC	06/21/2023	10/01/2023
CITIUSTECH INC	QA ANALYST	101,000	SANTA ROSA, CA	03/14/2023	04/04/2023
SAHASRA TECHNOLOGIES CORPORATION	QA ANALYST	101,280	QUINCY, MA	03/13/2023	07/01/2023
SERVICE MANAGEMENT GROUP LLC	QA ANALYST	101,612	OVERLAND PARK, KS	05/30/2023	10/17/2023
NEVONEX IT SOLUTIONS INC	QA ANALYST	102,835	HOUSTON, TX	03/22/2023	03/27/2023
XADEL IT INC	QA ANALYST	102,835	FREMONT, CA	04/25/2023	05/01/2023
TECHNOSOFT GROUP INC	QA ANALYST	103,064	MINNEAPOLIS, MN	02/06/2023	06/29/2023
DOTCOM TEAM LLC	QA ANALYST	105,000	FRISCO, TX	04/12/2023	10/01/2023
HYNES & KHATER LLC	QA ANALYST	105,000	HOUSTON, TX	07/10/2023	08/01/2023
NEXTGEN INFORMATION SERVICES INC	QA ANALYST	108,160	MARYLAND HEIGHTS, MO	04/12/2023	10/01/2023
NEXTGEN INFORMATION SERVICES INC	QA ANALYST	108,160	MARYLAND HEIGHTS, MO	07/07/2023	07/14/2023
AVS SOFT SOLUTIONS INC	QA ANALYST	108,181	QUINCY, MA	05/24/2023	07/01/2023
INTERSOFT DATA LABS INC	QA ANALYST	110,000	COLUMBIA, MD	08/08/2023	01/01/2024
AIA SOLUTIONS INC	QA ANALYST	110,000	HERNDON, VA	03/22/2023	04/01/2023
AIA SOLUTIONS INC	QA ANALYST	110,000	HERNDON, VA	04/20/2023	05/01/2023
GIIR AMERICA INC	QA ANALYST	110,000	ENGLEWOOD CLIFFS, NJ	01/05/2023	01/16/2023
VANTAGE POINT CONSULTING INC	QA ANALYST	110,000	CHICAGO, IL	02/23/2023	02/28/2023
INFOZEAL SOLUTIONS INC	QA ANALYST	110,365	DURHAM, NC	09/04/2023	09/08/2023
SILICON SOFTWARE TECHNOLOGIES INC	QA ANALYST	112,299	SAN RAMON, CA	08/29/2023	09/11/2023
DECISION MINDS INC	QA ANALYST	113,110	CEDAR PARK, TX	04/27/2023	10/01/2023
SARANSH INC	QA ANALYST	113,500	PRINCETON, CA	04/20/2023	10/01/2023
AKRAYA INC	QA ANALYST	114,400	FOSTER CITY, CA	06/19/2023	06/25/2023
ASPEN DENTAL MANAGEMENT INC	QA ANALYST	114,837	WAUKESHA, WI	06/05/2023	06/26/2023
EVEREST TECHNOLOGIES INC	QA ANALYST	116,000	LEWIS CENTER, OH	07/18/2023	10/08/2023
EVEREST TECHNOLOGIES INC	QA ANALYST	116,000	COLUMBUS, OH	07/18/2023	10/08/2023
PODS ENTERPRISES	QA ANALYST	117,466	ST. PETERSBURG, FL	03/23/2023	09/01/2023
PODS ENTERPRISES	QA ANALYST	118,239	SAN ANTONIO, TX	03/27/2023	09/01/2023
PODS ENTERPRISES	QA ANALYST	118,239	SAN ANTONIO, TX	03/27/2023	09/01/2023
SKILLTUNE TECHNOLOGIES INC	QA ANALYST	118,600	NORTH BRUNSWICK, NJ	01/26/2023	02/02/2023
SKILLTUNE TECHNOLOGIES INC	QA ANALYST	118,600	NORTH BRUNSWICK, NJ	01/31/2023	02/07/2023
ELIASSEN GROUP LLC	QA ANALYST	119,000	WESTLAKE, TX	05/15/2023	06/05/2023
VSOFT CORPORATION INC	QA ANALYST	120,000	STERLING, VA	03/07/2023	08/25/2023
AMICUS SYSTEMS INC	QA ANALYST	123,614	NEW YORK, NY	01/18/2023	06/27/2023
COSTCO WHOLESALE CORPORATION	QA ANALYST	128,400	ISSAQUAH, WA	01/31/2023	08/01/2023
PODS ENTERPRISES	QA ANALYST	130,992	CLEARWATER, FL	01/31/2023	03/30/2023
SKILLTUNE TECHNOLOGIES INC	QA ANALYST	140,100	NORTH BRUNSWICK, NJ	01/26/2023	02/02/2023
SKILLTUNE TECHNOLOGIES INC	QA ANALYST	140,100	NORTH BRUNSWICK, NJ	01/31/2023	02/07/2023
LANCO GLOBAL SYSTEMS INC	QA ANALYST	141,107	SAN JOSE, CA	07/21/2023	07/27/2023
BEACON HILL STAFFING GROUP LLC	QA ANALYST  AUTOMATION	75,000	CORAL SPRINGS, FL	06/20/2023	09/14/2023
COMFORTLIV LLC	QA ANALYST - ETL DATABASE	67,500	BALLWIN, MO	06/20/2023	10/01/2023
ORACLE AMERICA INC	QA ANALYST - PRODDEV	77,917	AUSTIN, TX	04/10/2023	10/01/2023
ORACLE AMERICA INC	QA ANALYST - PRODDEV	95,701	AUSTIN, TX	08/08/2023	08/16/2023
ADITI CONSULTING LLC	QA ANALYST - SENIOR	128,960	FREMONT, CA	01/20/2023	03/26/2023
ORACLE AMERICA INC	QA ANALYST -PRODDEV	78,482	NAPLES, FL	03/07/2023	09/05/2023
ORACLE AMERICA INC	QA ANALYST -PRODDEV	110,094	BURLINGTON, MA	05/16/2023	11/01/2023
ORACLE AMERICA INC	QA ANALYST -PRODDEV	110,261	CONCORD, NC	09/20/2023	10/02/2023
SAKSOL TECHNOLOGIES INC	QA ANALYST AND TESTER	81,328	DALLAS, TX	09/22/2023	10/01/2023
QUALITY MATRIX INC	QA ANALYST AND TESTER  DEVELOPER	99,382	WESTBOROUGH, MA	06/13/2023	10/01/2023
QUALITY MATRIX INC	QA ANALYST AND TESTER  DEVELOPER	99,382	WESTBOROUGH, MA	06/13/2023	10/01/2023
NAN TECHNOLOGIES INC	QA ANALYST ASSOCIATE	68,786	HALETHORPE, MD	06/01/2023	10/01/2023
VERTEX COMPUTER SYSTEMS INC	QA ANALYST COORDINATOR	89,000	MASON, OH	07/18/2023	09/30/2023
VERTEX COMPUTER SYSTEMS INC	QA ANALYST COORDINATOR	89,000	FAIRFIELD, OH	07/18/2023	09/30/2023
PETSMART LLC	QA ANALYST CUSTOMER	81,328	THE COLONY, TX	09/21/2023	01/26/2024
PETSMART LLC	QA ANALYST CUSTOMER	81,328	DALLAS, TX	09/20/2023	01/26/2024
DW MATRIX	QA ANALYST DEVELOPER	114,942	WOODSTOCK, MD	07/27/2023	01/02/2024
DW MATRIX	QA ANALYST DEVELOPER	114,942	WOODSTOCK, MD	07/18/2023	01/02/2024
NETSEC PROFESSIONALS CORPORATION	QA ANALYST ENGINEER	97,100	JERSEY CITY, NJ	02/14/2023	02/14/2023
EXPERIAN HEALTH INC	QA ANALYST EXPERT	91,556	FRANKLIN, TN	04/27/2023	10/01/2023
INSURANCE SERVICES OFFICE INC	QA ANALYST I	95,000	JERSEY CITY, NJ	09/01/2023	09/13/2023
INSURANCE SERVICES OFFICE INC	QA ANALYST I	98,000	JERSEY CITY, NJ	09/21/2023	10/25/2023
INTERCONTINENTAL EXCHANGE HOLDINGS INC	QA ANALYST II	74,500	ATLANTA, GA	06/30/2023	07/17/2023
INTERCONTINENTAL EXCHANGE HOLDINGS INC	QA ANALYST II	74,500	MORRISVILLE, NC	06/30/2023	07/17/2023
SORTINS TECHNOLOGIES INC	QA ANALYST II	75,296	MALVERN, PA	05/18/2023	10/01/2023
RELIABLE SOFTWARE RESOURCES	QA ANALYST II	81,300	HUNTERSVILLE, NC	08/03/2023	08/30/2023
PERSISTENT SYSTEMS INC	QA ANALYST II	89,300	DRESHER, PA	04/27/2023	10/01/2023
INSURANCE SERVICES OFFICE INC	QA ANALYST II	108,000	JERSEY CITY, NJ	03/15/2023	03/29/2023
INSURANCE SERVICES OFFICE INC	QA ANALYST II	110,000	JERSEY CITY, NJ	02/06/2023	02/20/2023
INSURANCE SERVICES OFFICE INC	QA ANALYST II	112,000	JERSEY CITY, NJ	07/26/2023	08/14/2023
INSURANCE SERVICES OFFICE INC	QA ANALYST II	112,000	JERSEY CITY, NJ	07/25/2023	09/13/2023
ATHENE ANNUITY AND LIFE COMPANY	QA ANALYST III	77,563	WEST DES MOINES, IA	06/14/2023	07/01/2023
ATHENE ANNUITY AND LIFE COMPANY	QA ANALYST III	77,563	WEST DES MOINES, IA	06/14/2023	07/01/2023
ELECTION SYSTEMS & SOFTWARE LLC	QA ANALYST III	93,000	ATLANTA, GA	09/18/2023	10/02/2023
CHICAGO MERCANTILE EXCHANGE INC	QA ANALYST III	95,000	CHICAGO, IL	02/22/2023	08/07/2023
ATHENE ANNUITY AND LIFE COMPANY	QA ANALYST III	95,285	WEST DES MOINES, IA	09/19/2023	10/05/2023
NEX SERVICES NORTH AMERICA LLC	QA ANALYST III	98,000	PARSIPPANY, NJ	03/13/2023	08/23/2023
CHICAGO MERCANTILE EXCHANGE INC	QA ANALYST III	110,000	CHICAGO, IL	07/20/2023	01/04/2024
INSURANCE SERVICES OFFICE INC	QA ANALYST III	119,800	JERSEY CITY, NJ	03/16/2023	08/25/2023
INSURANCE SERVICES OFFICE INC	QA ANALYST III	120,000	JERSEY CITY, NJ	08/16/2023	09/13/2023
INSURANCE SERVICES OFFICE INC	QA ANALYST III	123,475	JERSEY CITY, NJ	09/01/2023	02/12/2024
ADITI CONSULTING LLC	QA ANALYST III	137,280	MINNEAPOLIS, MN	08/03/2023	11/02/2023
C4I TECHNOLOGIES INC	QA ANALYST LEAD	100,000	IRVING, TX	03/29/2023	06/05/2023
ERPMARK INC	QA ANALYST MID-LEVEL SPECIALIST	72,072	MENANDS, NY	04/18/2023	08/01/2023
ACEQUEST CORPORATION	QA ANALYST QA ENGINEER QUALITY ASSURANCE	97,053	PISCATAWAY, NJ	01/18/2023	01/26/2023
ACUBAHN INC	QA ANALYST SOFTWARE TEST ENGINEER	66,768	MECHANICSBURG, PA	05/31/2023	10/01/2023
ACUBAHN INC	QA ANALYST SOFTWARE TEST ENGINEER	72,072	RENSSELAER, NY	05/31/2023	10/01/2023
BEACON HILL STAFFING GROUP LLC	QA ANALYST TESTER	72,200	DODGEVILLE, WI	04/25/2023	06/29/2023
BEACON HILL STAFFING GROUP LLC	QA ANALYST TESTER	96,000	PLEASANT PRAIRIE, WI	08/14/2023	08/28/2023
CYBER INFOTECH LLC	QA ANALYST TESTER	94,100	GAITHERSBURG, MD	09/18/2023	10/01/2023
LORHAN CORPORATION INC	QA ANALYST, IT SUPPLY CHAIN	78,957	COLUMBUS, OH	06/06/2023	10/01/2023
PACIFIC INVESTMENT MANAGEMENT COMPANY LLC	QA ANALYST, QUALITY ASSURANCE	125,000	NEWPORT BEACH, CA	05/30/2023	10/01/2023
ORACLE AMERICA INC	QA ANALYST- PRODDEV	109,678	DENVER, CO	09/12/2023	02/29/2024
ORACLE AMERICA INC	QA ANALYST- PRODDEV	113,194	FRISCO, TX	09/11/2023	02/29/2024
ORACLE AMERICA INC	QA ANALYST- PRODDEV	126,422	REDWOOD SHORES, CA	02/09/2023	07/01/2023
ORACLE AMERICA INC	QA ANALYST- PRODDEV	126,422	PLEASANTON, CA	05/23/2023	11/01/2023
ORACLE AMERICA INC	QA ANALYST- PRODDEV	138,590	SANTA CLARA, CA	02/06/2023	07/01/2023
DECKERS OUTDOOR CORPORATION	QA ANALYST-HIGHJUMP	127,000	GOLETA, CA	06/15/2023	06/24/2023
ORACLE AMERICA INC	QA ANALYST-PRODDEV	74,381	FRISCO, TX	04/18/2023	10/01/2023
ORACLE AMERICA INC	QA ANALYST-PRODDEV	105,830	ARLINGTON, VA	05/25/2023	11/01/2023
ORACLE AMERICA INC	QA ANALYST-PRODDEV	150,651	PLEASANTON, CA	07/19/2023	11/01/2023
ORACLE AMERICA INC	QA ANALYST-PRODDEV	168,418	PLEASANTON, CA	09/11/2023	02/29/2024
SKILZMATRIX DIGITAL LLC	QA ANALYSTS	70,000	TAMPA, FL	05/23/2023	10/01/2023
TIKAMOBILE INC	QA AND CLIENT SUPPORT ANALYST	65,000	EDINA, MN	02/01/2023	04/15/2023
TIKAMOBILE INC	QA AND CLIENT SUPPORT ANALYST	120,000	NEW YORK, NY	04/20/2023	04/20/2023
RISING SUN TECHNOLOGIES LLC	QA AND CLOUD AUTOMATION ENGINEER	90,000	FRISCO, TX	08/16/2023	10/01/2023
DANTA TECHNOLOGIES INC	QA AND SYSTEMS ENGINEER	80,725	BEDMINSTER, NJ	06/09/2023	10/01/2023
CIGNA-EVERNORTH SERVICES INC	QA AND TESTING ADVISOR	93,020	MINT HILL, NC	08/03/2023	08/26/2023
ELIX INC	QA API TESTER	83,845	CHARLOTTE, NC	03/10/2023	03/20/2023
MPR SYSTEMS LLC	QA APPLICATION ENGINEER	79,456	GRANADA HILLS, CA	05/16/2023	10/01/2023
SANCTITYINTERNATIONAL LLC	QA ARCHITECT	76,400	RICHMOND, VA	05/06/2023	10/01/2023
SANCTITYINTERNATIONAL LLC	QA ARCHITECT	77,775	RICHMOND, VI	04/21/2023	10/01/2023
SANCTITYINTERNATIONAL LLC	QA ARCHITECT	77,775	RICHMOND, VI	04/21/2023	10/01/2023
UNISOFT SOLUTIONS LLC	QA ARCHITECT	81,078	HAMILTON,, NJ	05/11/2023	10/01/2023
K-MAKIN TECHNOLOGIES INC	QA ARCHITECT	92,269	OWINGS MILLS, MD	03/08/2023	03/16/2023
PROLIFICS INC	QA ARCHITECT	102,835	SAN FRANCISCO, CA	04/24/2023	10/01/2023
EAGLE EYE NETWORKS INC	QA ARCHITECT	130,000	WEST LAKE HILLS, TX	06/29/2023	07/17/2023
PROGRESS SOFTWARE	QA ARCHITECT	130,196	BURLINGTON, MA	03/16/2023	09/06/2023
CYBAGE SOFTWARE INC	QA ARCHITECT II	104,502	SAN JOSE, CA	09/08/2023	09/15/2023
NOVO NORDISK PHARMACEUTICAL INDUSTRIES LP	QA AREA SPECIALIST IV	120,000	CLAYTON, NC	02/15/2023	04/04/2023
DVG TECH SOLUTIONS LLC	QA ASSOCIATE	76,149	WESTERVILLE, OH	06/19/2023	10/01/2023
SANNOVA ANALYTICAL LLC	QA ASSOCIATE	85,000	SOMERSET, NJ	04/13/2023	10/01/2023
GRANULES USA INC	QA ASSOCIATE	87,000	CHANTILLY, VA	04/21/2023	05/01/2023
DVG TECH SOLUTIONS LLC	QA ASSOCIATE	97,053	PLAINSBORO, NJ	06/06/2023	10/01/2023
ALCON RESEARCH LLC	QA ASSOCIATE QUALITY ENGINEER	66,539	DULUTH, GA	01/04/2023	01/16/2023
WARNERMEDIA SERVICES LLC	QA ASSURANCE ANALYST II	81,764	NEW YORK, NY	08/02/2023	08/14/2023
VIRAT SOLUTIONS INC	QA ASSURANCE AND AUTOMATION ENGINEER	74,381	DALLAS, TX	05/20/2023	05/25/2023
VIRAT SOLUTIONS INC	QA ASSURANCE AND AUTOMATION ENGINEER	77,771	BENTONVILLE, AR	05/24/2023	05/30/2023
RAVI SOLUTIONS INC	QA AUTOMATION	57,387	HOUSTON, TX	06/14/2023	10/01/2023
EVEN & ODD MINDS LLC	QA AUTOMATION	63,170	WILMINGTON, DE	09/22/2023	10/01/2023
RAVI SOLUTIONS INC	QA AUTOMATION	65,936	HOUSTON, TX	06/07/2023	10/01/2023
VENTOIS INC	QA AUTOMATION	80,000	FRISCO, TX	01/20/2023	01/20/2023
REDDINGTON CONSULTING INC	QA AUTOMATION	80,000	FRISCO, TX	01/27/2023	01/27/2023
REDDINGTON CONSULTING INC	QA AUTOMATION	80,000	FRISCO, TX	02/23/2023	02/23/2023
SYDATA INC	QA AUTOMATION	82,000	ALPHARETTA, GA	05/25/2023	09/28/2023
AJ SOFT INNOVATIONS LLC	QA AUTOMATION	92,269	COLUMBIA, MD	06/15/2023	10/01/2023
P2P SOFTTEK LLC	QA AUTOMATION	102,835	OAKLAND, CA	02/09/2023	02/13/2023
PRITNA INC	QA AUTOMATION ANALYST	74,381	IRVING, TX	06/17/2023	10/01/2023
ELECTRONIC DATA PROFESSIONALS INC	QA AUTOMATION ANALYST	76,500	BENSALEM, PA	01/03/2023	01/04/2023
LYNXTECH GROUP LLC	QA AUTOMATION ANALYST	80,000	PEORIA, IL	09/07/2023	10/01/2023
SRITEK INC	QA AUTOMATION ANALYST	81,328	DALLAS, TX	09/06/2023	09/06/2023
INBIZ CONCEPTS INC	QA AUTOMATION ANALYST	94,000	BOSTON, MA	06/13/2023	10/01/2023
ELECTRONIC DATA PROFESSIONALS INC	QA AUTOMATION ANALYST	97,000	FRAMINGHAM, MA	08/02/2023	08/03/2023
BUSITANTS INCORPORATED	QA AUTOMATION AND MANUAL TESTER	83,280	RESTON, VA	01/11/2023	02/06/2023
ENVESTNET FINANCIAL TECHNOLOGIES INC	QA AUTOMATION ARCHITECT	131,400	BERWYN, PA	08/31/2023	10/01/2023
BIOINFO SYSTEMS LLC	QA AUTOMATION DEVELOPER	61,000	PHILADELPHIA, PA	09/12/2023	10/01/2023
BIOINFO SYSTEMS LLC	QA AUTOMATION DEVELOPER	72,420	PHILADELPHIA, PA	03/07/2023	04/03/2023
BIOINFO SYSTEMS LLC	QA AUTOMATION DEVELOPER	77,400	PHILADELPHIA, PA	09/11/2023	10/01/2023
VEN SOLUTIONS LLC	QA AUTOMATION DEVELOPER	71,261	SAN ANTONIO, TX	04/12/2023	10/01/2023
SVATS INC	QA AUTOMATION DEVELOPER  ENGINEER	88,566	DUBLIN, OH	05/30/2023	10/01/2023
SVATS INC	QA AUTOMATION DEVELOPER  ENGINEER	92,040	AUSTIN, TX	05/30/2023	10/01/2023
SVATS INC	QA AUTOMATION DEVELOPER  ENGINEER	92,040	AUSTIN, TX	05/30/2023	06/01/2023
ORRBA SYSTEMS LLC	QA AUTOMATION ENGINEER	71,520	CARROLLTON, TX	04/04/2023	04/10/2023
ICLOUD CONSULTING SERVICES INC	QA AUTOMATION ENGINEER	76,580	ROUND ROCK, TX	09/19/2023	09/25/2023
MIRACLE SOLUTIONS LLC	QA AUTOMATION ENGINEER	80,000	FREMONT, CA	01/18/2023	01/26/2023
MIRACLE SOLUTIONS LLC	QA AUTOMATION ENGINEER	80,000	FREMONT, CA	01/20/2023	01/30/2023
B3R TECHNOLOGIES LLC	QA AUTOMATION ENGINEER	80,620	CHARLOTTE, NC	06/19/2023	10/01/2023
ENEXUS GLOBAL INC	QA AUTOMATION ENGINEER	81,240	AUSTIN, TX	01/26/2023	01/27/2023
AGILETAL TECHNOLOGIES INC	QA AUTOMATION ENGINEER	81,820	EDEN PRAIRIE, MN	07/19/2023	07/27/2023
AGILETAL TECHNOLOGIES INC	QA AUTOMATION ENGINEER	83,280	HERNDON, VA	06/22/2023	10/01/2023
WISSENIT INC	QA AUTOMATION ENGINEER	85,660	CLAYTON, MO	09/01/2023	09/06/2023
BEACON HILL STAFFING GROUP LLC	QA AUTOMATION ENGINEER	88,000	CROSS ROADS, TX	06/23/2023	07/10/2023
DVG TECH SOLUTIONS LLC	QA AUTOMATION ENGINEER	93,000	RICHMOND, VA	05/11/2023	10/01/2023
INSIGHT GLOBAL LLC	QA AUTOMATION ENGINEER	93,520	MCKINNEY, TX	07/18/2023	07/18/2023
FRIENDLY CONSULTANTS INC	QA AUTOMATION ENGINEER	95,720	PRINCETON, NJ	08/08/2023	08/14/2023
MIZ TECH SOLUTIONS LLC	QA AUTOMATION ENGINEER	100,800	LEHI, UT	04/17/2023	04/24/2023
ORRBA SYSTEMS LLC	QA AUTOMATION ENGINEER	108,760	MENLO PARK, CA	03/24/2023	03/29/2023
POPULUS GROUP LLC	QA AUTOMATION ENGINEER	130,000	SUNNYVALE, CA	07/05/2023	07/17/2023
COMCAST CABLE COMMUNICATIONS LLC	QA AUTOMATION ENGINEER	58,656	CHESTERBROOK, PA	04/10/2023	10/01/2023
CYBERSOLVE IT INC	QA AUTOMATION ENGINEER	60,000	ADDISON, TX	06/17/2023	10/01/2023
PRIMITIVE PARTNERS LLC	QA AUTOMATION ENGINEER	62,566	LUTZ, FL	03/21/2023	03/29/2023
COMCAST CABLE COMMUNICATIONS LLC	QA AUTOMATION ENGINEER	63,170	NEWTOWN SQUARE, PA	07/06/2023	10/01/2023
SPRINGSHINE CONSULTING INC	QA AUTOMATION ENGINEER	65,291	JACKSONVILLE, FL	02/14/2023	02/23/2023
TECHAM INC	QA AUTOMATION ENGINEER	65,395	CELINA, TX	07/12/2023	07/27/2023
MRA GLOBAL TECH LLC	QA AUTOMATION ENGINEER	67,392	ALDIE, VA	05/26/2023	06/05/2023
NARWAL INC	QA AUTOMATION ENGINEER	68,000	CINCINNATI, OH	05/09/2023	10/01/2023
VANTAGEERP LLC	QA AUTOMATION ENGINEER	68,000	TAMPA, FL	05/31/2023	10/01/2023
PYRAMID TECHNOLOGY SOLUTIONS INC	QA AUTOMATION ENGINEER	68,682	INDIANAPOLIS, IN	06/02/2023	10/01/2023
TECON SOLUTIONS INC	QA AUTOMATION ENGINEER	69,000	APPLE VALLEY, MN	06/16/2023	10/01/2023
TUPPL TECHNOLOGIES INC	QA AUTOMATION ENGINEER	70,000	IRVING, TX	05/19/2023	10/01/2023
